1;30;30;1
2;25;28;1
3;28;20;1
4;32;28;2
5;40;28;2
6;36;28;2
7;47;27;2
8;38;29;2
9;32;30;2
17;45;27;2
20;46;32;2
21;43;31;2
22;36,5;28,48;2
23;37,11;29,4;2
24;37,35;28,15;2
25;37,86;29,11;2
26;37,88;26,61;2
27;38,11;26,33;2
28;38,16;26,27;2
29;38,6;27,67;2
30;38,66;25,74;2
31;38,81;30,67;2
32;38,91;25,16;2
33;39,01;25,37;2
34;39,25;30,5;2
35;39,3;25,06;2
36;39,49;27,33;2
37;39,55;24,8;2
38;39,59;27,29;2
39;39,69;31,1;2
40;39,78;24,55;2
41;39,91;24,41;2
42;39,96;29,84;2
43;39,97;30,24;2
44;40,09;24,22;2
45;40,37;27,76;2
46;40,45;27,73;2
47;40,5;23,78;2
48;40,7;29,94;2
49;40,95;27,92;2
50;41,33;29,7;2
51;41,55;30;2
52;41,87;30,84;2
53;42,07;30,57;2
54;42,56;28,07;2
55;42,86;27,57;2
56;43,38;30,45;2
57;43,74;29,54;2
58;44,33;28,16;2
59;44,38;28,14;2
60;44,49;27,33;2
61;45,23;26,31;2
62;45,78;30,19;2
63;45,84;28,35;2
64;46,24;26,85;2
65;46,73;28,39;2
66;47,31;26,89;2
67;47,87;27,18;2
68;47,95;27,92;2
69;47,96;29,07;2
70;48,52;27,7;2
71;48,71;27,63;2
73;49,79;26,61;2
10;61;25;3
11;63;26;3
14;56;21;3
12;52;27;4
13;56;28;4
15;58;23;4
16;52;27;4
18;54;32;4
19;53;32;4
72;49,41;27,36;4
74;50,29;27,02;4
75;50,67;27,36;4
76;51,02;29;4
77;51,2;26,67;4
78;51,7;27,1;4
79;51,82;26,43;4
80;52,19;26,29;4
81;53,61;26,51;4
82;54,46;27,37;4
83;54,92;27,22;4
84;55,64;25,99;4
85;55,72;27,11;4
86;56,6;27,8;4
87;57,05;27,54;4
